subject,window_length,correct,total,accuracy
S1,1,471,900,0.5233333333333333
S1,5,95,180,0.5277777777777778
S1,10,49,90,0.5444444444444444
S1,15,30,54,0.5555555555555556
S1,30,11,18,0.6111111111111112
S2,1,561,900,0.6233333333333333
S2,5,128,180,0.7111111111111111
S2,10,57,90,0.6333333333333333
S2,15,40,54,0.7407407407407407
S2,30,16,18,0.8888888888888888
S3,1,538,900,0.5977777777777777
S3,5,119,180,0.6611111111111111
S3,10,64,90,0.7111111111111111
S3,15,38,54,0.7037037037037037
S3,30,13,18,0.7222222222222222
S4,1,527,900,0.5855555555555556
S4,5,134,180,0.7444444444444445
S4,10,69,90,0.7666666666666667
S4,15,43,54,0.7962962962962963
S4,30,16,18,0.8888888888888888
S5,1,511,900,0.5677777777777778
S5,5,109,180,0.6055555555555555
S5,10,59,90,0.6555555555555556
S5,15,39,54,0.7222222222222222
S5,30,13,18,0.7222222222222222
S6,1,495,900,0.55
S6,5,97,180,0.5388888888888889
S6,10,50,90,0.5555555555555556
S6,15,29,54,0.5370370370370371
S6,30,9,18,0.5
S7,1,562,900,0.6244444444444445
S7,5,135,180,0.75
S7,10,68,90,0.7555555555555555
S7,15,40,54,0.7407407407407407
S7,30,16,18,0.8888888888888888
S8,1,562,900,0.6244444444444445
S8,5,135,180,0.75
S8,10,75,90,0.8333333333333334
S8,15,43,54,0.7962962962962963
S8,30,17,18,0.9444444444444444
S9,1,511,900,0.5677777777777778
S9,5,113,180,0.6277777777777778
S9,10,55,90,0.6111111111111112
S9,15,31,54,0.5740740740740741
S9,30,11,18,0.6111111111111112
S10,1,512,900,0.5688888888888889
S10,5,107,180,0.5944444444444444
S10,10,54,90,0.6
S10,15,33,54,0.6111111111111112
S10,30,13,18,0.7222222222222222
S11,1,522,900,0.58
S11,5,104,180,0.5777777777777777
S11,10,50,90,0.5555555555555556
S11,15,34,54,0.6296296296296297
S11,30,12,18,0.6666666666666666
S12,1,517,900,0.5744444444444444
S12,5,120,180,0.6666666666666666
S12,10,64,90,0.7111111111111111
S12,15,38,54,0.7037037037037037
S12,30,15,18,0.8333333333333334
